priority_tier	url	slug	page_type	current_status	brief_file	claim_risk	primary_goal	required_retrofit_blocks	proof_module	internal_links_to_add	schema_needed	publish_gate	qa_gate
P1	https://simplyrest.com/best-eco-friendly-mattress/	best-eco-friendly-mattress	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-eco-friendly-mattress.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-firm-mattress/	best-firm-mattress	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-firm-mattress.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-foundation-for-memory-foam-mattress/	best-foundation-for-memory-foam-mattress	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-foundation-for-memory-foam-mattress.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-full-size-mattress/	best-full-size-mattress	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-full-size-mattress.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Fit/use proof: dimensions table, room-fit guidance, setup/usability notes, methodology link	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-hybrid-mattress/	best-hybrid-mattress	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-hybrid-mattress.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-hybrid-mattress-for-side-sleepers/	best-hybrid-mattress-for-side-sleepers	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-hybrid-mattress-for-side-sleepers.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-innerspring-mattress/	best-innerspring-mattress	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-innerspring-mattress.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-latex-mattress/	best-latex-mattress	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-latex-mattress.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-mattress-for-acid-reflux/	best-mattress-for-acid-reflux	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-mattress-for-acid-reflux.md	High: health/medical-adjacent language requires cautious wording and medical limitation note	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-mattress-for-back-pain/	best-mattress-for-back-pain	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-mattress-for-back-pain.md	High: health/medical-adjacent language requires cautious wording and medical limitation note	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-mattress-for-back-sleepers/	best-mattress-for-back-sleepers	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-mattress-for-back-sleepers.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-mattress-for-combination-sleepers/	best-mattress-for-combination-sleepers	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-mattress-for-combination-sleepers.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-mattress-for-couples/	best-mattress-for-couples	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-mattress-for-couples.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-mattress-for-guest-room/	best-mattress-for-guest-room	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-mattress-for-guest-room.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-mattress-for-hip-pain/	best-mattress-for-hip-pain	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-mattress-for-hip-pain.md	High: health/medical-adjacent language requires cautious wording and medical limitation note	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-mattress-for-kids/	best-mattress-for-kids	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-mattress-for-kids.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-mattress-for-restless-sleepers/	best-mattress-for-restless-sleepers	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-mattress-for-restless-sleepers.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-mattress-for-snoring/	best-mattress-for-snoring	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-mattress-for-snoring.md	High: health/medical-adjacent language requires cautious wording and medical limitation note	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-mattress-for-stomach-sleepers/	best-mattress-for-stomach-sleepers	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-mattress-for-stomach-sleepers.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-mattress-for-summer-2020/	best-mattress-for-summer-2020	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-mattress-for-summer-2020.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-mattress-for-teenagers/	best-mattress-for-teenagers	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-mattress-for-teenagers.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-mattress-for-the-money/	best-mattress-for-the-money	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-mattress-for-the-money.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-mattress-in-gilbert-arizona/	best-mattress-in-gilbert-arizona	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-mattress-in-gilbert-arizona.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-mattress-side-sleepers/	best-mattress-side-sleepers	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-mattress-side-sleepers.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-mattresses-for-under-1000/	best-mattresses-for-under-1000	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-mattresses-for-under-1000.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
