slug	brief_file	page_type	priority	claim_sensitive
mattress-foundation-sizes-guide	mattress-foundation-sizes-guide.md	guide	P3	no
mattress-guides	mattress-guides.md	guide	P3	no
mattress-resources	mattress-resources.md	guide	P3	no
mattress-reviews-finding-the-best-ones-online	mattress-reviews-finding-the-best-ones-online.md	guide	P3	no
mattress-sales	mattress-sales.md	sales	P2	no
mattress-sizes-and-dimensions	mattress-sizes-and-dimensions.md	guide	P3	no
mattress-stores	mattress-stores.md	local	P2	no
mattress-too-soft-or-too-firm	mattress-too-soft-or-too-firm.md	guide	P3	no
mattress-trends-2020	mattress-trends-2020.md	guide	P3	no
mattress-types	mattress-types.md	guide	P3	no
memorial-day-mattress-sales-top-brands	memorial-day-mattress-sales-top-brands.md	sales	P2	no
memory-foam-vs-hybrid-mattress	memory-foam-vs-hybrid-mattress.md	comparison	P1	no
memory-foam-vs-pillow-top	memory-foam-vs-pillow-top.md	comparison	P1	no
memory-foam-vs-serene-foam	memory-foam-vs-serene-foam.md	comparison	P1	no
memory-foam-vs-spring-mattress	memory-foam-vs-spring-mattress.md	comparison	P1	no
natural-sleep-aids	natural-sleep-aids.md	guide	P1-claim-sensitive	yes
organic-latex-mattresses-excel-in-support-and-pressure-relief	organic-latex-mattresses-excel-in-support-and-pressure-relief.md	guide	P3	no
presidents-day-mattress-sale	presidents-day-mattress-sale.md	sales	P2	no
privacy	privacy.md	guide	P3	no
queen-vs-california-king	queen-vs-california-king.md	comparison	P1	no
queen-vs-twin	queen-vs-twin.md	comparison	P1	no
queen-vs-twin-xl	queen-vs-twin-xl.md	comparison	P1	no
reset-sleep-clock	reset-sleep-clock.md	guide	P1-claim-sensitive	yes
sleep-habits-affect-mattress-comfort	sleep-habits-affect-mattress-comfort.md	guide	P1-claim-sensitive	yes
sleep-health	sleep-health.md	guide	P1-claim-sensitive	yes
sleep-schedule-consistency-and-work-week	sleep-schedule-consistency-and-work-week.md	guide	P1-claim-sensitive	yes
stages-of-sleep	stages-of-sleep.md	guide	P1-claim-sensitive	yes
technology-and-sleep	technology-and-sleep.md	guide	P1-claim-sensitive	yes
trouble-sleeping	trouble-sleeping.md	guide	P1-claim-sensitive	yes
twin-vs-full	twin-vs-full.md	comparison	P1	no
twin-vs-twin-xl	twin-vs-twin-xl.md	comparison	P1	no
twin-xl-vs-split-king	twin-xl-vs-split-king.md	comparison	P1	no
whats-the-best-mattress-for-plus-size-people	whats-the-best-mattress-for-plus-size-people.md	guide	P3	no
which-memory-foam-is-best	which-memory-foam-is-best.md	guide	P3	no
wyoming-king-vs-alaskan-king	wyoming-king-vs-alaskan-king.md	comparison	P1	no
