slug	priority	page_type	claim_sensitive	url	status	final_url	status_ok	final_url_ok	canonical	canonical_ok	schema_script_count	schema_parse_errors	schema_types_found	missing_schema_types	schema_entity_issues	ferdie_found	lead_tester_found	lab_link_found	methodology_link_found	faq_found	affiliate_disclosure_required	affiliate_disclosure_found	medical_limit_required	medical_limit_found	forbidden_public_markers	risky_claim_patterns_found	overall_pass
best-mattress-for-kids	P1	best-of	no	https://simplyrest.com/best-mattress-for-kids/	200	https://simplyrest.com/best-mattress-for-kids/	yes	yes	https://simplyrest.com/best-mattress-for-kids/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-mattress-for-restless-sleepers	P1-claim-sensitive	best-of	yes	https://simplyrest.com/best-mattress-for-restless-sleepers/	200	https://simplyrest.com/best-mattress-for-restless-sleepers/	yes	yes	https://simplyrest.com/best-mattress-for-restless-sleepers/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	yes	no			no
best-mattress-for-snoring	P1-claim-sensitive	best-of	yes	https://simplyrest.com/best-mattress-for-snoring/	200	https://simplyrest.com/best-mattress-for-snoring/	yes	yes	https://simplyrest.com/best-mattress-for-snoring/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	yes	no			no
best-mattress-for-stomach-sleepers	P1	best-of	no	https://simplyrest.com/best-mattress-for-stomach-sleepers/	200	https://simplyrest.com/best-mattress-for-stomach-sleepers/	yes	yes	https://simplyrest.com/best-mattress-for-stomach-sleepers/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-mattress-for-summer-2020	P1	best-of	no	https://simplyrest.com/best-mattress-for-summer-2020/	200	https://simplyrest.com/best-mattress-for-summer-2020/	yes	yes	https://simplyrest.com/best-mattress-for-summer-2020/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-mattress-for-teenagers	P1	best-of	no	https://simplyrest.com/best-mattress-for-teenagers/	200	https://simplyrest.com/best-mattress-for-teenagers/	yes	yes	https://simplyrest.com/best-mattress-for-teenagers/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-mattress-for-the-money	P1	best-of	no	https://simplyrest.com/best-mattress-for-the-money/	200	https://simplyrest.com/best-mattress-for-the-money/	yes	yes	https://simplyrest.com/best-mattress-for-the-money/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-mattress-in-gilbert-arizona	P2	local	no	https://simplyrest.com/best-mattress-in-gilbert-arizona/	200	https://simplyrest.com/best-mattress-in-gilbert-arizona/	yes	yes	https://simplyrest.com/best-mattress-in-gilbert-arizona/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-mattress-side-sleepers	P1	best-of	no	https://simplyrest.com/best-mattress-side-sleepers/	200	https://simplyrest.com/best-mattress-side-sleepers/	yes	yes	https://simplyrest.com/best-mattress-side-sleepers/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-mattress-store-denver-colorado	P2	local	no	https://simplyrest.com/best-mattress-store-denver-colorado/	200	https://simplyrest.com/best-mattress-store-denver-colorado/	yes	yes	https://simplyrest.com/best-mattress-store-denver-colorado/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-mattress-store-fort-worth-texas	P2	local	no	https://simplyrest.com/best-mattress-store-fort-worth-texas/	200	https://simplyrest.com/best-mattress-store-fort-worth-texas/	yes	yes	https://simplyrest.com/best-mattress-store-fort-worth-texas/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-mattress-store-in-austin-texas	P2	local	no	https://simplyrest.com/best-mattress-store-in-austin-texas/	200	https://simplyrest.com/best-mattress-store-in-austin-texas/	yes	yes	https://simplyrest.com/best-mattress-store-in-austin-texas/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-mattress-store-in-dallas-texas	P2	local	no	https://simplyrest.com/best-mattress-store-in-dallas-texas/	200	https://simplyrest.com/best-mattress-store-in-dallas-texas/	yes	yes	https://simplyrest.com/best-mattress-store-in-dallas-texas/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-mattress-store-in-friendswood-texas	P2	local	no	https://simplyrest.com/best-mattress-store-in-friendswood-texas/	200	https://simplyrest.com/best-mattress-store-in-friendswood-texas/	yes	yes	https://simplyrest.com/best-mattress-store-in-friendswood-texas/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-mattress-store-in-glendale-arizona	P2	local	no	https://simplyrest.com/best-mattress-store-in-glendale-arizona/	200	https://simplyrest.com/best-mattress-store-in-glendale-arizona/	yes	yes	https://simplyrest.com/best-mattress-store-in-glendale-arizona/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-mattress-store-in-houston-texas	P2	local	no	https://simplyrest.com/best-mattress-store-in-houston-texas/	200	https://simplyrest.com/best-mattress-store-in-houston-texas/	yes	yes	https://simplyrest.com/best-mattress-store-in-houston-texas/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-mattress-store-in-katy-texas	P2	local	no	https://simplyrest.com/best-mattress-store-in-katy-texas/	200	https://simplyrest.com/best-mattress-store-in-katy-texas/	yes	yes	https://simplyrest.com/best-mattress-store-in-katy-texas/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-mattress-store-in-littleton-colorado	P2	local	no	https://simplyrest.com/best-mattress-store-in-littleton-colorado/	200	https://simplyrest.com/best-mattress-store-in-littleton-colorado/	yes	yes	https://simplyrest.com/best-mattress-store-in-littleton-colorado/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-mattress-store-in-mesa-arizona	P2	local	no	https://simplyrest.com/best-mattress-store-in-mesa-arizona/	200	https://simplyrest.com/best-mattress-store-in-mesa-arizona/	yes	yes	https://simplyrest.com/best-mattress-store-in-mesa-arizona/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-mattress-store-in-phoenix-arizona	P2	local	no	https://simplyrest.com/best-mattress-store-in-phoenix-arizona/	200	https://simplyrest.com/best-mattress-store-in-phoenix-arizona/	yes	yes	https://simplyrest.com/best-mattress-store-in-phoenix-arizona/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-mattress-store-in-portland-oregon	P2	local	no	https://simplyrest.com/best-mattress-store-in-portland-oregon/	200	https://simplyrest.com/best-mattress-store-in-portland-oregon/	yes	yes	https://simplyrest.com/best-mattress-store-in-portland-oregon/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-mattress-store-in-tucson-arizona	P2	local	no	https://simplyrest.com/best-mattress-store-in-tucson-arizona/	200	https://simplyrest.com/best-mattress-store-in-tucson-arizona/	yes	yes	https://simplyrest.com/best-mattress-store-in-tucson-arizona/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-mattress-store-lone-tree-colorado	P2	local	no	https://simplyrest.com/best-mattress-store-lone-tree-colorado/	200	https://simplyrest.com/best-mattress-store-lone-tree-colorado/	yes	yes	https://simplyrest.com/best-mattress-store-lone-tree-colorado/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-mattresses-for-under-1000	P1	best-of	no	https://simplyrest.com/best-mattresses-for-under-1000/	200	https://simplyrest.com/best-mattresses-for-under-1000/	yes	yes	https://simplyrest.com/best-mattresses-for-under-1000/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-memory-foam-mattress	P1	best-of	no	https://simplyrest.com/best-memory-foam-mattress/	200	https://simplyrest.com/best-memory-foam-mattress/	yes	yes	https://simplyrest.com/best-memory-foam-mattress/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-memory-foam-mattress-for-side-sleepers	P1	best-of	no	https://simplyrest.com/best-memory-foam-mattress-for-side-sleepers/	200	https://simplyrest.com/best-memory-foam-mattress-for-side-sleepers/	yes	yes	https://simplyrest.com/best-memory-foam-mattress-for-side-sleepers/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	yes	yes	no	no	no			no
best-online-mattress	P0	best-of	no	https://simplyrest.com/best-online-mattress/	200	https://simplyrest.com/best-online-mattress/	yes	yes	https://simplyrest.com/best-online-mattress/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-organic-mattress	P1	best-of	no	https://simplyrest.com/best-organic-mattress/	200	https://simplyrest.com/best-organic-mattress/	yes	yes	https://simplyrest.com/best-organic-mattress/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-queen-mattress	P1	best-of	no	https://simplyrest.com/best-queen-mattress/	200	https://simplyrest.com/best-queen-mattress/	yes	yes	https://simplyrest.com/best-queen-mattress/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-time-to-buy-a-mattress	P1	best-of	no	https://simplyrest.com/best-time-to-buy-a-mattress/	200	https://simplyrest.com/best-time-to-buy-a-mattress/	yes	yes	https://simplyrest.com/best-time-to-buy-a-mattress/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-twin-mattress	P1	best-of	no	https://simplyrest.com/best-twin-mattress/	200	https://simplyrest.com/best-twin-mattress/	yes	yes	https://simplyrest.com/best-twin-mattress/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	yes	yes	no	no	no			no
best-twin-xl-size-mattress	P1	best-of	no	https://simplyrest.com/best-twin-xl-size-mattress/	200	https://simplyrest.com/best-twin-xl-size-mattress/	yes	yes	https://simplyrest.com/best-twin-xl-size-mattress/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	yes	yes	no	no	no			no
black-friday-mattress-sales	P2	sales	no	https://simplyrest.com/black-friday-mattress-sales/	200	https://simplyrest.com/black-friday-mattress-sales/	yes	yes	https://simplyrest.com/black-friday-mattress-sales/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	yes	yes	no	no	no			no
buying-bed-online	P3	guide	no	https://simplyrest.com/buying-bed-online/	200	https://simplyrest.com/buying-bed-online/	yes	yes	https://simplyrest.com/buying-bed-online/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	no	no	no	no			no
california-king-vs-full	P1	comparison	no	https://simplyrest.com/california-king-vs-full/	200	https://simplyrest.com/california-king-vs-full/	yes	yes	https://simplyrest.com/california-king-vs-full/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
california-king-vs-twin-xl	P1	comparison	no	https://simplyrest.com/california-king-vs-twin-xl/	200	https://simplyrest.com/california-king-vs-twin-xl/	yes	yes	https://simplyrest.com/california-king-vs-twin-xl/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
chronic-kidney-disease-and-sleep	P1-claim-sensitive	guide	yes	https://simplyrest.com/chronic-kidney-disease-and-sleep/	200	https://simplyrest.com/chronic-kidney-disease-and-sleep/	yes	yes	https://simplyrest.com/chronic-kidney-disease-and-sleep/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	no	no	yes	no		\bcure(?:s|d)?\b	no
contact	P3	guide	no	https://simplyrest.com/contact/	200	https://simplyrest.com/contact/	yes	yes	https://simplyrest.com/contact/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	no	no	no	no			no
cyber-monday-mattress-sales	P2	sales	no	https://simplyrest.com/cyber-monday-mattress-sales/	200	https://simplyrest.com/cyber-monday-mattress-sales/	yes	yes	https://simplyrest.com/cyber-monday-mattress-sales/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	yes	yes	no	no	no			no
disclosure	P3	guide	no	https://simplyrest.com/disclosure/	200	https://simplyrest.com/disclosure/	yes	yes	https://simplyrest.com/disclosure/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	no	yes	no	no			no
down-vs-down-alternative	P1	comparison	no	https://simplyrest.com/down-vs-down-alternative/	200	https://simplyrest.com/down-vs-down-alternative/	yes	yes	https://simplyrest.com/down-vs-down-alternative/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	yes	yes	no	no	no			no
full-vs-queen	P1	comparison	no	https://simplyrest.com/full-vs-queen/	200	https://simplyrest.com/full-vs-queen/	yes	yes	https://simplyrest.com/full-vs-queen/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
gel-memory-foam-vs-memory-foam-whats-the-difference	P1	comparison	no	https://simplyrest.com/gel-memory-foam-vs-memory-foam-whats-the-difference/	200	https://simplyrest.com/gel-memory-foam-vs-memory-foam-whats-the-difference/	yes	yes	https://simplyrest.com/gel-memory-foam-vs-memory-foam-whats-the-difference/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
guide-to-labor-day-mattress-deals	P2	sales	no	https://simplyrest.com/guide-to-labor-day-mattress-deals/	200	https://simplyrest.com/guide-to-labor-day-mattress-deals/	yes	yes	https://simplyrest.com/guide-to-labor-day-mattress-deals/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	yes	yes	no	no	no			no
home	P3	guide	no	https://simplyrest.com/	200	https://simplyrest.com/	yes	yes	https://simplyrest.com/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	no	no	no	no			no
how-long-does-a-mattress-last	P3	guide	no	https://simplyrest.com/how-long-does-a-mattress-last/	200	https://simplyrest.com/how-long-does-a-mattress-last/	yes	yes	https://simplyrest.com/how-long-does-a-mattress-last/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
how-to-choose-the-best-memory-foam-mattress	P3	guide	no	https://simplyrest.com/how-to-choose-the-best-memory-foam-mattress/	200	https://simplyrest.com/how-to-choose-the-best-memory-foam-mattress/	yes	yes	https://simplyrest.com/how-to-choose-the-best-memory-foam-mattress/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
how-to-clean-a-mattress	P3	guide	no	https://simplyrest.com/how-to-clean-a-mattress/	200	https://simplyrest.com/how-to-clean-a-mattress/	yes	yes	https://simplyrest.com/how-to-clean-a-mattress/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
how-to-pick-the-right-memory-foam-mattress	P3	guide	no	https://simplyrest.com/how-to-pick-the-right-memory-foam-mattress/	200	https://simplyrest.com/how-to-pick-the-right-memory-foam-mattress/	yes	yes	https://simplyrest.com/how-to-pick-the-right-memory-foam-mattress/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
improve-air-quality-increase-oxygen-bedroom	P1-claim-sensitive	guide	yes	https://simplyrest.com/improve-air-quality-increase-oxygen-bedroom/	200	https://simplyrest.com/improve-air-quality-increase-oxygen-bedroom/	yes	yes	https://simplyrest.com/improve-air-quality-increase-oxygen-bedroom/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	no	no	yes	no			no
improve-sleep-quality	P1-claim-sensitive	guide	yes	https://simplyrest.com/improve-sleep-quality/	200	https://simplyrest.com/improve-sleep-quality/	yes	yes	https://simplyrest.com/improve-sleep-quality/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	no	no	yes	no			no
is-an-adjustable-bed-right-for-you	P3	guide	no	https://simplyrest.com/is-an-adjustable-bed-right-for-you/	200	https://simplyrest.com/is-an-adjustable-bed-right-for-you/	yes	yes	https://simplyrest.com/is-an-adjustable-bed-right-for-you/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	no	no	no	no			no
jet-lag	P1-claim-sensitive	guide	yes	https://simplyrest.com/jet-lag/	200	https://simplyrest.com/jet-lag/	yes	yes	https://simplyrest.com/jet-lag/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	no	no	yes	no			no
